attack,aggregator,f,cluster_size,seed,final_acc,final_acc_std,rounds,final_asr,k_clusters,dirty_clusters,clean_frac_observed,clean_frac_theory
labelflip_reputation,ov4,0.2,3,2,0.5991,0.0098,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,0,0.568,0.0078,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,1,0.5614,0.0091,50,,10,5,0.5,0.512
labelflip_reputation,tf,0.2,3,2,0.5717,0.0074,50,,10,5,0.5,0.512
labelflip_reputation,ov4,0.3,3,0,0.5461,0.0164,50,,10,6,0.4,0.343
labelflip_reputation,ov4,0.3,3,1,0.5756,0.0216,50,,10,7,0.3,0.343
labelflip_reputation,ov4,0.3,3,2,0.57,0.0181,50,,10,5,0.5,0.343
labelflip_reputation,tf,0.3,3,0,0.5022,0.0927,50,,10,6,0.4,0.343
labelflip_reputation,tf,0.3,3,1,0.5391,0.0383,50,,10,7,0.3,0.343
labelflip_reputation,tf,0.3,3,2,0.4978,0.0318,50,,10,5,0.5,0.343
none,bulyan,0.0,3,0,0.5797,0.0041,50,,10,0,1.0,1.0
none,bulyan,0.0,3,1,0.6003,0.0059,50,,10,0,1.0,1.0
none,bulyan,0.0,3,2,0.5962,0.0047,50,,10,0,1.0,1.0
none,fedgt,0.0,3,0,0.6206,0.0054,50,,10,0,1.0,1.0
none,fedgt,0.0,3,1,0.6228,0.0043,50,,10,0,1.0,1.0
none,fedgt,0.0,3,2,0.6138,0.004,50,,10,0,1.0,1.0
none,fltrust,0.0,3,0,0.4902,0.0222,50,,10,0,1.0,1.0
none,fltrust,0.0,3,1,0.5341,0.0297,50,,10,0,1.0,1.0
none,fltrust,0.0,3,2,0.532,0.0286,50,,10,0,1.0,1.0
none,geomedian,0.0,3,0,0.6216,0.0062,50,,10,0,1.0,1.0
none,geomedian,0.0,3,1,0.6185,0.0047,50,,10,0,1.0,1.0
none,geomedian,0.0,3,2,0.6212,0.0041,50,,10,0,1.0,1.0
none,krum,0.0,3,0,0.5919,0.0044,50,,10,0,1.0,1.0
none,krum,0.0,3,1,0.5948,0.0065,50,,10,0,1.0,1.0
none,krum,0.0,3,2,0.5968,0.0056,50,,10,0,1.0,1.0
none,mean,0.0,3,0,0.6246,0.0069,50,,10,0,1.0,1.0
none,mean,0.0,3,1,0.6217,0.0057,50,,10,0,1.0,1.0
none,mean,0.0,3,2,0.6246,0.0042,50,,10,0,1.0,1.0
none,median,0.0,3,0,0.6091,0.0038,50,,10,0,1.0,1.0
none,median,0.0,3,1,0.6151,0.0049,50,,10,0,1.0,1.0
none,median,0.0,3,2,0.6186,0.0047,50,,10,0,1.0,1.0
none,trimmed,0.0,3,0,0.6132,0.0053,50,,10,0,1.0,1.0
none,trimmed,0.0,3,1,0.6164,0.005,50,,10,0,1.0,1.0
none,trimmed,0.0,3,2,0.6189,0.0042,50,,10,0,1.0,1.0
none_hybrid,ov4,0.0,3,0,0.6197,0.0064,50,,10,0,1.0,1.0
none_hybrid,ov4,0.0,3,1,0.6254,0.0055,50,,10,0,1.0,1.0
none_hybrid,ov4,0.0,3,2,0.6167,0.0071,50,,10,0,1.0,1.0
signflip,median,0.05,1,0,0.578,0.0062,50,,30,2,0.9333,0.95
signflip,median,0.05,1,1,0.5513,0.0051,50,,30,2,0.9333,0.95
signflip,median,0.05,1,2,0.5918,0.0067,50,,30,2,0.9333,0.95
signflip,median,0.05,3,0,0.5942,0.006,50,,10,1,0.9,0.8574
signflip,median,0.05,3,1,0.5835,0.0049,50,,10,2,0.8,0.8574
signflip,median,0.05,3,2,0.6025,0.0052,50,,10,1,0.9,0.8574
signflip,median,0.05,5,0,0.5961,0.0053,50,,6,1,0.8333,0.7738
signflip,median,0.05,5,1,0.5689,0.0064,50,,6,2,0.6667,0.7738
signflip,median,0.05,5,2,0.5834,0.0058,50,,6,2,0.6667,0.7738
signflip,bulyan,0.1,3,0,0.6047,0.0061,50,,10,3,0.7,0.729
signflip,bulyan,0.1,3,1,0.5967,0.0074,50,,10,3,0.7,0.729
signflip,bulyan,0.1,3,2,0.6082,0.0035,50,,10,3,0.7,0.729
signflip,fedgt,0.1,3,0,0.5385,0.0057,30,,10,3,0.7,0.729
signflip,fedgt,0.1,3,1,0.5428,0.0056,30,,10,3,0.7,0.729
signflip,fedgt,0.1,3,2,0.539,0.008,30,,10,3,0.7,0.729
signflip,fltrust,0.1,3,0,0.501,0.0135,50,,10,3,0.7,0.729
signflip,fltrust,0.1,3,1,0.5195,0.0308,50,,10,3,0.7,0.729
signflip,fltrust,0.1,3,2,0.4982,0.0331,50,,10,3,0.7,0.729
signflip,geomedian,0.1,3,0,0.5549,0.007,50,,10,3,0.7,0.729
signflip,geomedian,0.1,3,1,0.573,0.0055,50,,10,3,0.7,0.729
signflip,geomedian,0.1,3,2,0.5665,0.0059,50,,10,3,0.7,0.729
signflip,krum,0.1,3,0,0.599,0.0038,50,,10,3,0.7,0.729
signflip,krum,0.1,3,1,0.6015,0.0062,50,,10,3,0.7,0.729
signflip,krum,0.1,3,2,0.6132,0.0047,50,,10,3,0.7,0.729
signflip,mean,0.1,3,0,0.3022,0.0079,50,,10,3,0.7,0.729
signflip,mean,0.1,3,1,0.1,0.0,50,,10,3,0.7,0.729
signflip,mean,0.1,3,2,0.199,0.1211,50,,10,3,0.7,0.729
signflip,median,0.1,1,0,0.5633,0.0057,50,,30,3,0.9,0.9
signflip,median,0.1,1,1,0.5575,0.0039,50,,30,3,0.9,0.9
signflip,median,0.1,1,2,0.569,0.0052,50,,30,3,0.9,0.9
signflip,median,0.1,3,0,0.5352,0.0067,50,,10,3,0.7,0.729
signflip,median,0.1,3,1,0.5721,0.0059,50,,10,3,0.7,0.729
signflip,median,0.1,3,2,0.5586,0.008,50,,10,3,0.7,0.729
signflip,median,0.1,5,0,0.3765,0.0066,50,,6,3,0.5,0.5905
signflip,median,0.1,5,1,0.5649,0.0048,50,,6,2,0.6667,0.5905
signflip,median,0.1,5,2,0.4435,0.0088,50,,6,3,0.5,0.5905
signflip,oracle,0.1,3,0,0.6225,0.0049,50,,10,3,0.7,0.729
signflip,oracle,0.1,3,1,0.6216,0.0056,50,,10,3,0.7,0.729
signflip,oracle,0.1,3,2,0.623,0.0048,50,,10,3,0.7,0.729
signflip,reputation,0.1,3,0,0.6099,0.0058,50,,10,3,0.7,0.729
signflip,reputation,0.1,3,1,0.6144,0.0068,50,,10,3,0.7,0.729
signflip,reputation,0.1,3,2,0.6074,0.0054,50,,10,3,0.7,0.729
signflip,trimmed,0.1,3,0,0.5058,0.0069,50,,10,3,0.7,0.729
signflip,trimmed,0.1,3,1,0.514,0.0078,50,,10,3,0.7,0.729
signflip,trimmed,0.1,3,2,0.5303,0.0085,50,,10,3,0.7,0.729
signflip,bulyan,0.2,3,0,0.5719,0.006,50,,10,5,0.5,0.512
signflip,bulyan,0.2,3,1,0.5676,0.0047,50,,10,5,0.5,0.512
signflip,bulyan,0.2,3,2,0.5813,0.0044,50,,10,5,0.5,0.512
signflip,fedgt,0.2,3,0,0.494,0.0097,30,,10,5,0.5,0.512
signflip,fedgt,0.2,3,1,0.5193,0.0053,30,,10,5,0.5,0.512
signflip,fedgt,0.2,3,2,0.5271,0.0109,30,,10,5,0.5,0.512
signflip,fltrust,0.2,3,0,0.4922,0.0301,50,,10,5,0.5,0.512
signflip,fltrust,0.2,3,1,0.4995,0.0608,50,,10,5,0.5,0.512
signflip,fltrust,0.2,3,2,0.4979,0.019,50,,10,5,0.5,0.512
signflip,geomedian,0.2,3,0,0.4273,0.0032,50,,10,5,0.5,0.512
signflip,geomedian,0.2,3,1,0.4566,0.0083,50,,10,5,0.5,0.512
signflip,geomedian,0.2,3,2,0.4521,0.0032,50,,10,5,0.5,0.512
signflip,krum,0.2,3,0,0.4779,0.0227,50,,10,5,0.5,0.512
signflip,krum,0.2,3,1,0.4531,0.0146,50,,10,5,0.5,0.512
signflip,krum,0.2,3,2,0.4278,0.0205,50,,10,5,0.5,0.512
signflip,mean,0.2,3,0,0.1,0.0,50,,10,5,0.5,0.512
